instruction_zh,input_zh
按照给定的格式，将以下内容转化为特定的形式。,将“今天天气真好，我们去海边玩吧！”以邮件的形式发送给张三。邮件的主题要求为“周五出游计划”。
编辑一篇文章，使其更有条理和逻辑。,"文章：介绍如何在一个月内学习一门新技能
长度：1000字
难度：中等"
将给定的短文进行移位加密，并生成加密后的结果和解密方法。,"故事大纲：
    一直以来，小A和小B都是最好的朋友。他们经常一起分享快乐，也一起经历失落和失败。但是，自从小C来到这所学校并成为新的学生领袖之后，
    他们的友情开始出现裂痕。现在，小B准备组织一场体育比赛，他邀请了所有班里的同学，包括小C。但小C似乎并不感兴趣，小B很伤心，
    不知道该怎么办。请为这个故事加密，以便小A能够阅读，但不会让第三方了解内容。"
"在下列列表中选出三款移动电话，并为每款电话提供一两句的评价：
- [苹果手机]：价格昂贵，但质量好。
- [小米手机]：价格适中，性能也不错。
- [华为手机]：该公司被禁用，不能获得Google服务和应用程序。",
编辑一篇小说的开头，使其更具感染力。,提供一篇含有开头的小说，需要进行编辑以吸引读者的注意力。
创建一个详细的健身计划，包括有氧运动和体重训练。,
为一篇英文科技博客文章提供一篇中文翻译。,假设您是一名熟练的英文–中文翻译者，您需要为一篇涉及人工智能、 云计算或机器学习等主题的博客文章提供一篇中文翻译，以便中文读者能够理解其中的技术术语和概念。
让GPT模型写一个段落，描述一件你最近发生的事情。,无。
统计这个文件夹里的文件数。,文件夹路径：/home/user/documents/
为给定的文本进行翻译。,"""这是一个非常简单的问题。"""
用数据图表显示以下三个国家的人口增长率：中国、印度和美国。,
将以下这篇文章中的复杂词汇转换成更简单的单词。,文章：尽管智能手机在技术上比过去的一些电脑更为先进，但它们的照相功能经常受到限制，所以许多人仍然认为专业的照相机是更好的选择。
将给定的句子引用为一个段落。,"句子：""我最好的朋友是我青梅竹马的小学同学，在我最需要他的时候，他经常给我帮助和支持。"""
请重述下面这个句子，使其更简洁明了。,对于许多人来说，使用信用卡从某种程度上来说是一种与日常生活密切相关的事情。
根据给定的信息，生成一篇属于短文类的文章。,题目：“充满能量的太阳”。根据以下信息撰写文章：太阳是太阳系中最大的天体，它的直径是 Earth 的109倍。太阳体积的99.86％由氢和氦组成。在太阳内部的核心，氢聚变反应使太阳不断释放出光和热。
在给定的Excel表格中，找到一列数字的中位数，并计算该列数字的平均值。,我们需要分析这个月的销售报告。
请提供一个你认为最有趣的历史事件的描述。,
"请给出朗文词典里“radiation""一词的词性和解释。",
描述关于你最喜欢的电影的一个情节。,影片名称：佐罗的面具，导演：罗伯托·罗西里尼，主演：李察·哈里斯，克里斯托弗·瓦尔兹。
在给定的列表中查找最大值并将其输出。,"[3, 5, 1, 9, 2, 8, 6, 7, 4]"
解决一个推理难题。,以下是一个推理难题。请解决该推理难题：“一只汽车车轮的成本是10美元，一块钢板的成本是7美元，而一只车轮和两块钢板可以用来制作一个核心传动轮的成本是24美元。问题是，一个核心传动轮的另外一个部件，一个齿轮，的成本是多少美元？”
检测一段文本中是否存在剽窃。如有，提出修改建议。否则，输出“未检测到剽窃”。,这篇文章被很多读者称赞，因为它揭示了一个意想不到的真相。
请将下面的句子翻译成西班牙语。,"""我想要一杯酒。"""
给以下四个观点排序：A. 太阳系中的行星都是以相同方向旋转。B. 化学元素的周期表是温度递增的。C. 电子是第一类粒子，它们几乎没有质量。D. 大多数高速公路都限速。,无。
给出一个需要让助手回答的问题。,你对下棋有多感兴趣？是某种特定的棋类，还是更倾向于团队游戏？
根据给定的关键字搜索并列出5个相关的学术论文。,关键字：人工智能和医疗保健。
编辑一篇关于健康生活方式的博客文章，并在文章中提供至少三个可行的健身计划以及饮食建议。,您将获得一份健康食谱和健身课程的列表。
"请写一篇演讲稿，陈述""人工智能对未来的影响""。",你将参加一个关于技术的国际研讨会，分享你对人工智能的看法。
请列举三个能够促进学习的方法，并提供它们的理论依据。,
请给我建议。哪些股票应该买入？哪些应该卖出？为什么？,我希望得到一些投资建议，以便调整我的股票组合。
基于一组购物数据，计算每个客户购买最多的商品以及这些商品的占比。,"数据集：Online Retail II
数据格式：订单编号，产品编码，产品描述，数量，订单日期，单价，客户ID"
根据指定条件筛选出电影相关评论，其中包含“失望”的词语。,你现在手头有一份所有IMDb电影评论的数据库，你想找出所有带有“失望”词语的评论。你需要将筛选出的评论保存为一个单独的CSV文件。
将以下句子翻译成英语。,在我们的团队中，每个成员都有他/她的强项和擅长的领域。这使得我们可以更有效地协作和完成各种任务。
提供一个您认为世界上最好的食谱，并解释为什么您认为它是这样的。,我是一位烹饪爱好者，我想烹饪一些说得人品尝的美味佳肴，以此来提升自己的厨艺。
为该企业设计一个品牌标志。,该企业是一家初创企业，专注于健康食品的生产和销售。
给以下三个选项排名：A) 法国 B) 英国 C) 德国。你认为这些国家在哪些方面最具代表性？,
编写一个简单的英语单词记忆游戏，并记录用户分数。,你需要编写一个英语单词记忆游戏，其中包括随机生成的单词和它们的定义。用户必须对定义正确匹配单词，并选择最佳选项。游戏难度应该逐步增加。你需要记录用户的最终分数。
将一首歌曲翻译成中文。,"歌曲：Shape of You
歌手：Ed Sheeran"
将给定的文本转换为所有大写字母。,"文本: ""这是一句小写字母的句子。"""
根据以下的数据，预测下个月的销售额。请写下你的预测方法。,"我们最近的销售额数据是：
- 一月：$1000
- 二月：$1200
- 三月：$1300
- 四月：$1500
- 五月：$1700"
根据这个句子中的词汇和上下文，翻译成英文。,这篇文章的原始版本是中文，但现在我需要它的英文翻译。
为一组数字创建一个可视化图表，并添加图例。,20年间某地区的平均气温。
写一篇关于旅行的短文，列举出至少3个让人梦寐以求的旅行目的地。,
给定一个日期和一个时间，输出该日期和时间的格式是否符合标准，并纠正它（如果有必要）。,"日期：08/22/2021
时间：9:30 PM"
查询给定文本中是否有指定的单词或短语。,"文本：第一章节是这本书最难的部分，但我们必须坚持下去。
目标单词：坚持"
给我展示一张夜景照片。,
邮件中提到的所有日期和时间，根据当地时区转换为GMT时间。,邮件内容：“请务必在7月23日中午12点前提交报告。报告应包括6月份的销售数据。”
编写一篇简短的文章，探讨现代技术对我们生活的影响。,随着智能手机和社交媒体的普及，我们是否变得更加独立和社交了呢？
输入一个段落，并将其中的所有单词反转。,例句：The quick brown fox jumps over the lazy dog.
对以下名人进行年龄排序。,"名人:
Kanye West
Tom Cruise
Emma Watson
Snoop Dogg"
创建一份清单，列出你认为最后20年中的10部电影。,
"对以下列表进行去重：""apple"",""banana"",""cherry"",""banana"",""kiwi"",""cherry"",""apple"",""melon""",
描述如何更改Word文档的边距。,
为用户提供一篇与比萨有关的食谱。,"类型：素食/非素食
配料：蘑菇、番茄、意大利面团
口味：辣、不辣"
根据给定的标准对物品进行分类。,将以下动物分为哺乳动物、鳞状动物或鸟类：鲸鱼、鳗鱼、恐龙、蝾螈、鸽子、鲨鱼、鹰、绿海龟、恐龙蛋。
将以下数写成科学记数法：0.000025。,
为我查找维多利亚时代（英国）发生了什么重要的事件。,无。
请简要总结深圳最近发生的几件重大新闻。,无。
为下面这个段落更改语气，使其更加强烈和具有说服力。,这是一个美国人最常说的话，但它是错误的。美国政府采取了严格的隔离措施，以平息疫情，但很多人仍然认为这种做法不必要。
列出5本你最近读过的书，并为每本书写一句评价。,
编写一个包含10个数字的排序算法，以升序排列。,"要排序的数字：12, 9, 26, 1, 23, 8, 7, 16, 31, 19。"
找到一篇新闻报道，其中包含有关哈里王子婚礼的信息，并将其简要介绍给我。,我想知道哈里王子的婚礼详情。
给我一些排除日常压力的建议。,工作压力巨大的人。
根据提供的文本创建一个单词云，并将其保存到指定的文件路径。,"文本: ""我们希望改变当代音乐的态度，改变它对传统与现代、国内与国外的看法，打破它们之间的屏障，开拓出音乐的新境界。"""
为一张晚会邀请函编写适当的内容。,"主题：夏季野餐派对
时间：2022年7月17日
地点：公园"
描述一个发生在家庭聚餐或其他社交场合的不寻常或有趣的事件。,
根据题目描述，选择一个与之最相似的文化活动。,有一部电影，它讲述了一个年轻人在大学毕业后找到工作的困难。他最终决定开始自己的企业，并最终成功。这部电影的类型是戏剧。
请找出给定列表中的最大值，并输出结果。,"给定列表为 [3, 7, 2, 9, 1]。"
找到包含以下短语的维基百科文章：面向对象编程。,面向对象编程
判断给定的两个句子是否为相似或不同句。,"""红色的房子在山顶""和""山顶上有一座红色的房子""。"
创作一首关于自然美的诗歌。,
请列出三个有趣的、但大多数人不知道的事实。,
编写一份长为200字的简历，以应聘一份前端开发工作。,
找出下面这篇文章的主题。,"这是一篇文章。

在国际社会中，有一种越来越关注人类文化多样性的意识。民族保护主义在全球范围内得到了关注，并引起了不同文化与个体之间关系的许多问题。为了推动这种多样性的保护和倡导，很多国家建立了各种形式的文化遗产保护机构。在这些机构的帮助下，人们能够更好地理解并欣赏世界各地其它文化的绚丽多彩。"
请根据提供的数据集，创建一个线性回归模型。,你是一名机器学习工程师，需要使用一个提供的数据集创建一个线性回归模型，以预测一项业务的销售趋势。
请说明什么是战略性管理。,
请将以下这个数字转化成罗马数字格式，并输出。,数字：3829
编写一个戏剧剧本，其中包含三名角色的对话和互动。,我正在写一个戏剧，需要一个情节和一些对话来描述三个角色的相互作用。这个戏剧主题可以是任何你想象得到的。
将这段文本翻译成英文。,这是一篇中文科技新闻，包含大约300字。
找出10个全球最大的公司，并为每个公司写一个简短的介绍。,
根据给定的文本，自动推断文本主题并归类。,这是一篇自然语言处理领域的论文，主要讨论文本分类和语义分析问题。论文提供了一种新的算法，可以对文本数据集进行快速有效的分类，实现了很好的性能和准确性。
描述一道菜的食谱步骤。,请描述如何制作巧克力蛋糕。
找到一张表格，列出最近10场英超比赛的比分。,
给定一串文字，将其中的中文句子提取出来并输出。,"文字：""This is a test. 这是一段中文文字。 这也是中文。 Some more text."""
总结这篇文章的主要观点。,这篇文章讨论了人工智能如何改变未来的工作环境和就业机会。文章提到，虽然人工智能可能会取代某些工作，但它也将创造新的工作机会，需要不同的技能和专业知识。
给定一段文本，生成一个简短的摘要。,有一种鸟儿名叫惠比寿，是日本传统神话中的一位神祇，他被认为是商业、财富和好运的神祇。惠比寿通常被描绘成一位胖乎乎的男孩，经常手持起钓竿，身穿日式的服装。
根据某个主题，列出一些相关的词汇。,主题：旅行
将一句话翻译成另一种语言，例如将中文翻译成英文或法文。,我喜欢学习新语言。
选取以下选项来填写空白，使句子完整。,"空白：""我不能去上学，因为我___了。""
选项：""生病""，""错过了公交车""，""吵架"""
通过搜索引擎，找到一张适合用于电子商务网站首页的图片。,请搜索适合用于电子商务网站首页的图片，并推荐一张。该图片应该能够吸引用户的注意力，并且与电子商务有关。
请根据指定的条件筛选数据，并将结果以Excel电子表格形式发送给我。,"数据集：销售记录
条件：
-产品类型为""手机""
-销售日期在6月份
-销售额大于1000元"
打开我的电脑，查找并打开一个名为“财务报告.xlsx”的Excel文件。,
为一些仍在学习中的人提供一篇解释 Gaussian 过程和它们在机器学习中使用的文章。,他们已经熟悉了一些简单的概念，如贝叶斯优化和回归，现在想了解如何使用 Gaussian 过程来对数据进行建模。
将这个视频剪辑为最多2分钟的精华版，并输出结果。,视频链接：https://www.youtube.com/watch?v=dQw4w9WgXcQ
给定一些图片，生成一份图片描述。,下面是一些关于购物的图片，请根据图片生成描述。
编写一份关于交通拥堵的报告，并提出可行的缓解措施。,城市的交通拥堵严重影响了人们的生活。你需要编写一份关于交通拥堵的报告，对交通状况进行分析，提出可行的缓解措施，如搭建新的高速公路，加强公共交通等。
重新排列下面这句话，使之成为正确的顺序。,知道妈妈，是的我不是我习惯生活方式这样。
将以下国家按照面积从大到小排序。,俄罗斯、加拿大、中国、美国、巴西
将以下文本翻译成法语：“你好，我是一名学生。”,
使用给定的材料制作一个简单的手工艺品。,您是一位手工艺人，被要求使用给定的材料创造一个简单的手工艺品，可以是织物、木材、纸张或其它材料。
列举三个全球著名的地标，并简要介绍它们的历史。,
请给我一个建议，如何更好地管理时间。,工作繁忙的人。
请告诉我家马路边的行人闯红灯被抓拍到了多少次。,无。
将以下英文句子翻译成中文。,"""I love to read books on a rainy day."""
请描述一个为什么人们容易陷入困境和依赖的情况。,社交媒体。
给出有用的健康建议来改善心理健康。,您是一名注册的营养师和健康专家，您被要求为一位日常生活中遇到焦虑和心理压力的客户提供营养和健康建议，以提高他们的心理健康水平。
列出至少2个大洲的名称。,
请从以下几个选项中选择一个，写一个200字以上的论述。,"- 人工智能的利弊分析 
- 现代家庭中的成人教育 
- 健康饮食的重要性 
- 电影中的音乐"
找到一张美国加州的地图，并标出San Francisco、Los Angeles和Sacramento这三个城市的位置。,"我正在计划我即将到访的美国之旅。

（图片可自行搜索）"
请生成一组符合以下标准的音乐歌单。,"- 时长不超过1小时。
- 包含至少5首歌曲。
- 风格为摇滚。"
请用三个词来形容您所学过的最有用的技能，无论是工作上还是生活中。,
请根据所选主题，编写一篇500字的论文。,主题为“COVID-19大流行如何改变长期护理的未来”。
编写一个为目标集策略制定的广告。,你的公司是一家新兴的互联网科技公司，专注于开发应用程序，帮助人们更高效地管理他们的日常生活和工作。
创建一个婴儿浴室的清单，包括必备物品和注意事项。,婴儿年龄：3个月。
请解释一个科学原理，以及它在现实生活中的应用。,"原理：相对论
应用：全球定位系统 (GPS)"
将图片中的主体抠出来，并替换为背景图片。,用户想为他们的家庭相册制作一张自定义照片。
根据给定的关键词生成一篇包含这些关键词的文章。,关键词：自然灾害、救援、人道主义、哀悼
请创建一个包含我最喜欢的三首歌曲的播放列表。,"歌曲: ""Bohemian Rhapsody"" by Queen, ""Stairway to Heaven"" by Led Zeppelin, and ""Imagine"" by John Lennon."
请告诉我机场附近有哪些酒店。,机场：芝加哥奥黑尔国际机场。
"将以下的文本转换为笔画输入法并输出。

""中文输入法""",
根据提供的数据，创建一个可视化图表，显示两种不同类型的产品的销售情况。,"产品：苹果和梨
销售数据：苹果：1000台，梨：500台"
将以下数据排列成一张简单的条形图：10、7、15、22、8。,
描述一次人类和机器人之间的对话，这次对话的主题是“道德和技术的关系”。,你到访了一个人工智能公司，这是一个致力于开发下一代人类助手的公司。你和一个机器人进行了一次长时间的对话，讨论了道德和技术的关系，以及未来人机之间的合作。
对于给定的一篇文章，请总结出文章的主要观点和结论。,一篇时事新闻。
完成一个剧本的开头，主题是两位男子在酒吧里相遇并开始交谈。他们彼此之间的关系应该是未知的。,酒吧里有很多人，环境很是吵闹。男子们应该在这个背景下进行对话。
"请根据以下两个单词：""法国""和""酒""，描述一个独特而有趣的情境。",
列出你计划今天做的事情。,
给出一组表格和折线图，让GPT模型尝试解释数据趋势和相关性。,一组经济数据。
根据以下情景，写一个有趣的小故事。,一只狗在公园里追着一只松鼠，并迷路了。
根据给定的文本，将其改写成正确的语法。,文本：“我喜欢吃苹果还有橙汁。”
根据以下信息，为该展览创建一个海报。海报应包括展览名称、日期、时间和地点。,“现代艺术展览”，地点：人民广场艺术中心，时间：2022年5月1日至5月31日。
从中文到英文的文本翻译。,
请为以下这只手串写一个如何制作的指南。,一只华丽的手工花环
你正在写一个小说，需要描述一个角色的外貌特征。,角色：玛丽，年龄为32岁，身高5.5英尺，黑发，蓝眼睛，手上戴着一个钻石戒指。
列出所有的主要贸易协议名称。,
记录并制作一个关于野生生物的十分钟视频。,您是一名自然摄影师，需要为一部关于野生生物的纪录片制作一个十分钟的视频。该视频应涵盖不同动植物的生活、行为和习惯，最好提供其他有趣的背景，吸引观众的视觉和听觉感官。
请给我3个英文电影名字，并提供它们的翻译。,
说明下列两个单词之间的不同：客户和用户。,
在这个列表中标记所有的食品，以及它们的过期日期。,我正在清理我的厨房和冰箱，我需要一张列表来帮助我记录我的食品并检查是否需要及时消耗或处理。
请按照台风的名称和它到达的时间，将以下这些台风按照先后顺序列出。,"台风列表：
- 台风纳沙 (2020年11月6日 - 11月17日)
- 台风莲花 (2020年8月1日 - 8月10日)
- 台风巴威 (2020年6月24日 - 6月27日)
- 台风佳莉 (2020年9月24日 - 9月30日)"
为下面这张照片写一个简短的标题。,图片：
将这个名词解释清楚。,"名词：""实体关系图"""
从给定的视频中提取音频。,视频：一个野生动物探险的视频。
请编写一个程序，计算一个给定文本中的单词数。,您将拥有一个包含任意数量的单词的文本。您的程序需要计算这个文本中的单词数，并将其打印出来。
请列出5个关于如何轻松学习语言的建议。,
解释物理学中的牛顿运动定律。,你是一位物理学教授，需要用简单的术语解释牛顿运动定律。
计算7×8的结果。,无。
请推荐一本你最喜欢的书，包括作者、出版日期和简要概述。,请推荐一本你最喜欢的书，包括作者、出版日期和简要概述。请提供书名和作者的评价，以及书籍的主要主题和情节。
给出一句不完整的话，让GPT模型生成完整的句子。,不完整的句子：虽然他很紧张...
在给定的数据集上训练一个分类器，将文本分类为正面或负面。,数据集包括10000个来自推特的推文，一半是积极的，一半是消极的。您需要使用适当的预处理技术来准备数据，以便将数据分成训练集和测试集。您还应该计算分类器的准确率、精确率和召回率。
请列出一些关于家居装修的指南。,装修新家
以这个名字作为主题，为一位新员工制作一个欢迎卡片。,Sarah
在输入文本的末尾添加一组足以让所有人爆笑的笑话。,文本：我们最近讨论了一个新的项目，但我们需要更多的团队合作来推动这个项目向前发展。
将一篇文章的语法和拼写错误全部修改后，发布到博客上。,选择的文章是一篇关于健康生活方式的指南。
帮我预定明年的夏威夷度假之旅。,出发日期：2022年6月25日，回程日期：2022年7月3日。
找到并纠正给定文本中的语法错误。,这是一篇文章，它包含几个语法错误。请找到并改正这些语法错误。
根据给定的输入序列，预测接下来的数字是多少。,"输入序列：1, 3, 5, 7, 9, 11, 13, 15, 17"
描述你的理想工作位置。,你是什么样的人？你最喜欢什么样的环境来工作？请描述你的理想工作位置。
请给我3种不同的绿色植物，以便在我的工作室放置。,我有一个明亮的北向工作室，希望能放置一些绿色植物。
为给定的主题编写一首诗。,主题：冬天
根据给定的教育主题，创建一篇博客文章。,提供了一个教育主题，需要为这个主题创造独特的博客文章。
在自己的电脑上创建一个网站。,
给出你对雪天的最佳旅游目的地。,
提供一种提高阅读理解能力的建议。,阅读是学习和理解新知识非常重要的一部分。以下是一些关于提高阅读理解能力的建议。
请告诉我一些最近的科学研究发现。,
在这个句子中找出不属于人类的名词。,这个句子描述了一幅神秘的画。
在以下这个句子中添一句话，使其具有连贯性和明确性：“我们要去州立公园。”,你正在和你的朋友讨论潜在的周末旅行点，并且你已经决定去州立公园，但你需要进一步讨论旅行的具体细节。
编写一篇有关新冠疫情的简洁但详细的报告。,该报告将被用于向公众传达关于新冠病毒的重要信息。报告应该包括有关疫情的当前状况，预防措施，症状等内容。
解释什么是网格顶点？,
